read:0.5660, augment:0.4544
read:0.4025, augment:0.2687
read:0.3695, augment:0.2244
read:0.3755, augment:0.2210
read:0.3712, augment:0.2241
read:0.3591, augment:0.2172
read:0.3450, augment:0.2236
read:0.3207, augment:0.2136
read:0.4158, augment:0.2162
read:0.3924, augment:0.2184
read:0.3548, augment:0.2217
read:0.4025, augment:0.2151
read:0.3488, augment:0.1819
read:0.3994, augment:0.2272
read:0.3030, augment:0.2215
read:0.3929, augment:0.2174
read:0.3929, augment:0.2236
read:0.3624, augment:0.2196
read:0.3810, augment:0.2191
read:0.4046, augment:0.2294
read:0.4134, augment:0.2213
read:0.3660, augment:0.2186
read:0.4184, augment:0.2232
read:0.3483, augment:0.2179
read:0.3855, augment:0.2186
read:0.3943, augment:0.2227
read:0.3932, augment:0.2217
read:0.3481, augment:0.2210
read:0.3989, augment:0.2191
read:0.3564, augment:0.2165
read:0.4010, augment:0.2182
read:0.3660, augment:0.2172
read:0.4160, augment:0.2275
read:0.3424, augment:0.2246
read:0.4003, augment:0.2162
read:0.3576, augment:0.2167
read:0.3498, augment:0.2158
read:0.3622, augment:0.2215
read:0.3846, augment:0.2120
read:0.3364, augment:0.2625
read:0.4528, augment:0.2222
read:0.3402, augment:0.2215
read:0.4385, augment:0.2203
read:0.3812, augment:0.2167
read:0.4032, augment:0.2193
read:0.3657, augment:0.2165
read:0.4153, augment:0.2213
read:0.3524, augment:0.2162
read:0.3450, augment:0.2170
read:0.4127, augment:0.2205
read:0.3924, augment:0.2153
read:0.3831, augment:0.2203
read:0.3707, augment:0.1919
read:0.3357, augment:0.2201
read:0.3934, augment:0.2201
read:0.3641, augment:0.2193
read:0.3881, augment:0.2198
read:0.3872, augment:0.2182
read:0.3364, augment:0.2167
read:0.3960, augment:0.2196
read:0.4272, augment:0.2215
read:0.3610, augment:0.2172
read:0.3064, augment:0.1833
read:0.3843, augment:0.2141
read:0.3624, augment:0.2155
read:0.3667, augment:0.2208
read:0.4163, augment:0.2172
read:0.3867, augment:0.2224
read:0.3507, augment:0.2179
read:0.3967, augment:0.2196
read:0.4020, augment:0.2162
read:0.3743, augment:0.2203
read:0.3748, augment:0.2255
read:0.4048, augment:0.2165
read:0.3788, augment:0.2151
read:0.3667, augment:0.2172
read:0.3533, augment:0.2177
read:0.3395, augment:0.2129
read:0.3428, augment:0.2179
read:0.3698, augment:0.2251
read:0.3769, augment:0.2170
read:0.4132, augment:0.2134
read:0.3612, augment:0.2155
read:0.3943, augment:0.2162
read:0.3929, augment:0.2182
read:0.3672, augment:0.2146
read:0.3548, augment:0.2215
read:0.4003, augment:0.2196
read:0.3502, augment:0.2189
read:0.3836, augment:0.2148
read:0.3750, augment:0.2153
read:0.3204, augment:0.2174
read:0.4172, augment:0.2172
read:0.3324, augment:0.2182
read:0.3514, augment:0.2196
read:0.3488, augment:0.1781
read:0.3419, augment:0.2179
read:0.3791, augment:0.2172
read:0.3834, augment:0.2182
read:0.3436, augment:0.2100
read:0.3500, augment:0.2141
read:0.3459, augment:0.2108
read:0.3879, augment:0.1862
read:0.3724, augment:0.2208
