read:0.6173, augment:1.4699
read:2.7599, augment:1.4229
read:1.3914, augment:1.3015
read:1.5349, augment:1.2293
read:0.7203, augment:1.1604
read:3.5636, augment:1.3690
read:1.5204, augment:1.0197
read:1.6983, augment:1.2054
read:8.4860, augment:1.5702
read:3.1707, augment:1.2939
read:2.2633, augment:1.2324
read:6.2962, augment:1.2619
read:1.5490, augment:1.3685
read:1.7760, augment:1.1477
read:3.4711, augment:1.2870
read:2.8806, augment:1.2674
read:5.1408, augment:1.2965
read:1.4338, augment:0.9694
read:3.1292, augment:1.3514
read:3.4547, augment:1.3132
read:1.7107, augment:0.9873
read:0.9422, augment:1.1156
read:1.6868, augment:1.1396
read:1.9531, augment:1.1036
read:1.2929, augment:1.3356
read:4.9655, augment:1.2791
read:0.8726, augment:1.0271
read:1.2641, augment:1.0858
read:1.9348, augment:1.0209
read:1.7729, augment:1.0924
read:1.9946, augment:1.1156
read:0.3209, augment:0.9761
read:4.7636, augment:1.2400
read:1.7657, augment:1.1981
read:1.9011, augment:1.2844
read:1.3833, augment:1.0145
read:2.0361, augment:1.2155
read:2.7363, augment:1.3638
read:0.9832, augment:1.0257
read:2.9817, augment:1.2946
read:0.6170, augment:1.1232
read:3.2220, augment:1.2267
read:2.1086, augment:1.2376
read:3.3729, augment:1.2333
read:1.2040, augment:1.1234
read:5.4066, augment:1.2879
read:0.3126, augment:1.0669
read:4.2229, augment:1.2197
read:0.8006, augment:1.0886
read:1.6015, augment:1.0493
read:0.9828, augment:1.1222
read:2.0738, augment:1.2867
read:1.0970, augment:1.1737
read:0.5460, augment:1.0765
read:0.6452, augment:1.0960
read:0.6058, augment:1.0767
read:8.3582, augment:1.4758
read:0.9456, augment:0.9794
read:2.4297, augment:1.2350
read:0.7286, augment:1.0293
read:0.1769, augment:0.9639
read:1.8036, augment:1.2519
read:1.9603, augment:1.0293
read:2.0642, augment:1.0569
read:2.9876, augment:1.2867
read:0.7637, augment:1.1137
read:1.2057, augment:1.0800
read:2.4304, augment:1.2395
read:0.9804, augment:1.1034
read:2.2283, augment:1.2343
read:2.3961, augment:1.2865
read:0.8125, augment:1.0865
read:0.6428, augment:1.0922
read:0.4640, augment:1.0586
read:0.6347, augment:0.9978
read:0.8357, augment:1.3793
read:3.4115, augment:1.4088
read:0.3798, augment:1.0240
read:1.1780, augment:1.2205
read:1.1315, augment:1.1547
read:2.8672, augment:1.2939
read:2.1942, augment:1.0750
read:0.2346, augment:0.9573
read:1.5249, augment:1.1039
read:1.1053, augment:1.0350
read:1.1587, augment:0.9999
read:1.4791, augment:1.2650
read:2.1634, augment:1.1325
read:1.9321, augment:1.1230
read:1.9760, augment:1.0803
read:23.8914, augment:1.7018
read:0.8116, augment:1.0686
read:2.2192, augment:1.2956
read:0.4888, augment:1.0381
read:3.2134, augment:1.4615
read:0.3994, augment:1.0576
read:2.0981, augment:1.5051
read:3.3541, augment:1.3309
read:0.7849, augment:0.9983
read:1.7664, augment:1.2698
read:3.8972, augment:1.4586
read:1.9011, augment:1.0228
read:2.5725, augment:1.3242
read:4.1044, augment:1.3871
read:1.6747, augment:1.4594
read:0.6752, augment:1.2007
read:0.8049, augment:1.2901
read:1.2474, augment:1.5185
read:3.9756, augment:1.4825
read:1.4622, augment:1.0707
read:1.6339, augment:1.2348
read:1.3890, augment:1.2913
read:3.3615, augment:1.3006
read:2.5611, augment:1.1108
read:1.4744, augment:1.4021
read:3.2909, augment:1.2317
read:3.3407, augment:1.2608
read:2.4028, augment:1.3664
read:0.5069, augment:1.0097
read:0.5949, augment:1.0297
read:3.0153, augment:1.3745
read:2.7680, augment:1.2915
read:1.1330, augment:1.1363
read:1.1275, augment:1.0922
read:4.9934, augment:1.2937
read:1.4315, augment:1.1733
read:1.8690, augment:1.1430
read:0.5932, augment:1.1275
read:1.1246, augment:1.1525
read:2.1977, augment:1.3003
read:20.8931, augment:1.4009
read:1.5726, augment:1.1432
read:1.5290, augment:0.9556
read:3.9852, augment:1.3001
read:1.1642, augment:1.1714
read:2.6374, augment:1.2732
read:0.4988, augment:0.9670
read:0.7658, augment:1.1401
read:0.7985, augment:1.0753
read:2.1279, augment:1.0760
read:0.4556, augment:1.0910
read:0.9785, augment:1.0929
read:0.7708, augment:1.0998
read:6.2056, augment:1.2429
read:1.0514, augment:1.0462
read:4.1516, augment:1.3692
read:0.3965, augment:1.0736
read:1.5614, augment:1.2224
read:4.0159, augment:1.2896
read:0.8688, augment:1.0409
read:2.7127, augment:1.2631
read:3.0305, augment:1.3511
read:1.8868, augment:1.0753
read:0.2637, augment:0.9303
read:0.8724, augment:1.1125
read:3.2127, augment:1.2426
read:1.4489, augment:1.1723
read:3.6120, augment:1.2822
read:0.9038, augment:1.1127
read:1.2641, augment:1.1945
read:3.2508, augment:1.2779
read:2.0087, augment:1.2035
read:4.5774, augment:1.3387
read:2.1029, augment:1.3592
read:1.3721, augment:0.9954
read:0.2015, augment:0.9387
read:2.3704, augment:1.2281
read:6.0184, augment:1.2927
read:3.2775, augment:1.2317
read:1.8592, augment:1.0679
read:1.3189, augment:0.9441
read:3.1703, augment:1.2519
read:1.8551, augment:1.3325
read:0.8528, augment:1.0211
read:0.2077, augment:0.9832
read:2.1827, augment:1.0870
read:1.7362, augment:1.1387
read:18.6605, augment:1.9078
read:3.9227, augment:1.3371
read:0.2258, augment:1.0068
read:0.5181, augment:1.0700
read:2.8143, augment:1.5075
read:0.9902, augment:0.9871
read:2.8164, augment:1.1220
read:0.5867, augment:0.9964
read:1.8404, augment:1.2152
read:3.2563, augment:1.2820
read:0.5212, augment:1.0498
read:5.6899, augment:1.2379
read:1.6005, augment:1.3373
read:1.9000, augment:1.1156
read:2.5690, augment:1.2684
read:3.1965, augment:1.2999
read:1.4217, augment:1.4052
read:1.5204, augment:1.0858
read:3.2306, augment:1.2329
read:1.6222, augment:1.1926
read:2.0030, augment:1.1249
read:0.8345, augment:1.0381
read:7.9708, augment:1.3983
read:4.1356, augment:1.3509
read:0.9599, augment:1.1454
read:0.6180, augment:1.0669
read:26.6664, augment:1.6079
read:3.1574, augment:1.2672
read:0.5834, augment:1.0684
read:3.0785, augment:1.1764
