read:1.8628, augment:19.0537
read:8.0597, augment:19.7394
read:4.2992, augment:17.7331
read:4.3159, augment:16.9291
read:2.1920, augment:16.7842
read:9.2328, augment:19.5518
read:3.8726, augment:15.4164
read:5.3670, augment:17.2949
read:25.2204, augment:18.6586
read:9.1808, augment:17.6532
read:8.3284, augment:18.9483
read:15.9442, augment:19.4874
read:4.7638, augment:18.9548
read:4.6906, augment:17.2589
read:10.2949, augment:19.8317
read:8.6346, augment:19.4426
read:13.1416, augment:19.4180
read:3.9546, augment:15.5976
read:10.1166, augment:18.8868
read:11.2622, augment:19.0539
read:4.9357, augment:18.9204
read:2.9490, augment:16.0170
read:4.7128, augment:17.3776
read:5.1055, augment:17.0083
read:6.5138, augment:18.8973
read:13.3727, augment:17.4320
read:2.7847, augment:15.8439
read:4.1401, augment:16.2890
read:5.0995, augment:15.8293
read:4.8716, augment:16.5648
read:4.9541, augment:16.8409
read:1.0588, augment:16.1154
read:12.6882, augment:17.9317
read:5.1930, augment:17.4167
read:7.2634, augment:19.2199
read:3.8486, augment:16.7999
read:7.0126, augment:19.0995
read:9.0437, augment:18.4102
read:2.9228, augment:15.7256
read:8.4505, augment:18.5964
read:2.0087, augment:15.8386
read:9.0153, augment:18.6298
read:7.3528, augment:17.4005
read:8.8787, augment:18.8768
read:3.8416, augment:17.1416
read:13.5765, augment:18.3306
read:1.5132, augment:16.7863
read:11.6348, augment:17.3848
read:2.9140, augment:15.9085
read:4.4816, augment:16.0682
read:3.8066, augment:17.4038
read:7.3376, augment:18.2052
read:3.6008, augment:17.5014
read:1.6627, augment:15.6655
read:2.0480, augment:16.1905
read:2.2967, augment:15.7859
read:22.1326, augment:18.7495
read:2.7018, augment:16.3958
read:8.1441, augment:17.6558
read:2.1701, augment:16.8438
read:0.7260, augment:16.1221
read:6.5975, augment:17.5693
read:5.1997, augment:16.6895
read:5.4009, augment:16.1102
read:8.6806, augment:18.3222
read:2.3463, augment:15.9359
read:3.5815, augment:17.1018
read:7.7901, augment:17.6284
read:2.8906, augment:16.3417
read:6.4960, augment:17.8230
read:7.9801, augment:19.4757
read:3.2587, augment:17.2210
read:1.9360, augment:15.8820
read:1.5078, augment:15.7814
read:2.3208, augment:16.5179
read:2.9140, augment:18.6591
read:10.8991, augment:18.3139
read:1.2784, augment:15.7950
read:4.4019, augment:17.3936
read:4.3516, augment:17.1134
read:8.8325, augment:19.5336
read:5.9793, augment:17.2086
read:0.8433, augment:16.0522
read:4.3085, augment:16.9544
read:3.3233, augment:17.4992
read:3.0611, augment:16.3968
read:4.2880, augment:17.0591
read:6.1057, augment:17.4816
read:5.0080, augment:17.0200
read:5.5113, augment:16.0828
read:66.6373, augment:21.3490
read:2.4993, augment:15.6205
read:7.3338, augment:17.4232
read:1.7030, augment:16.8126
read:8.5902, augment:19.8805
read:1.2341, augment:15.5931
read:7.8681, augment:18.3010
read:9.0468, augment:18.8196
read:2.6457, augment:15.7020
read:5.8479, augment:19.1510
read:11.1151, augment:18.4498
read:4.7579, augment:16.7329
read:7.9057, augment:18.6837
read:10.5023, augment:18.4875
read:6.9537, augment:18.2357
read:1.8311, augment:16.8786
read:2.3031, augment:17.4019
read:5.3446, augment:18.2152
read:9.9201, augment:19.1576
read:3.4056, augment:15.3368
read:4.0021, augment:16.2151
read:3.5620, augment:16.9933
read:8.5785, augment:17.4651
read:6.0625, augment:15.4135
read:5.6767, augment:18.5180
read:10.2055, augment:19.0077
read:8.7640, augment:17.5591
read:8.6145, augment:17.6256
read:1.6625, augment:16.8259
read:1.8725, augment:16.7418
read:8.2331, augment:17.4749
read:7.9789, augment:17.5917
read:2.9659, augment:18.5764
read:3.5923, augment:13.1083
read:12.9297, augment:18.4867
read:4.4825, augment:17.3509
read:4.6072, augment:16.2599
read:1.8933, augment:16.8586
read:3.1786, augment:15.9142
read:7.6010, augment:18.6889
read:59.5057, augment:19.4941
read:4.2169, augment:16.1109
read:3.8705, augment:15.3687
read:11.9801, augment:17.6485
read:4.5276, augment:16.9399
read:8.1959, augment:18.1615
read:1.8218, augment:15.3635
read:2.4981, augment:16.7186
read:2.3832, augment:16.0737
read:5.9900, augment:17.0274
read:1.4763, augment:15.8944
read:2.8551, augment:16.2132
read:2.2321, augment:15.7716
read:15.5046, augment:17.4935
read:2.7881, augment:15.6898
read:12.3289, augment:19.2196
read:1.3323, augment:15.7201
read:5.0962, augment:17.0171
read:10.6614, augment:15.1608
read:2.5074, augment:15.9757
read:9.1875, augment:19.2037
read:8.1265, augment:20.0875
read:4.6268, augment:15.8229
read:0.8962, augment:15.2829
read:2.2287, augment:15.8999
read:8.9712, augment:18.2562
read:3.7999, augment:15.8165
read:9.7752, augment:18.4097
read:2.8906, augment:16.1512
read:3.6495, augment:17.5989
read:9.0709, augment:17.5123
read:5.3263, augment:16.6318
read:12.4779, augment:18.7299
read:8.0206, augment:18.4371
read:3.8958, augment:15.7762
read:0.7493, augment:16.0751
read:6.5174, augment:16.9406
read:15.8255, augment:17.9837
read:9.9394, augment:17.5667
read:5.2137, augment:17.1556
read:3.5083, augment:15.3799
read:9.1631, augment:17.6225
