read:0.6261, augment:0.4222
read:3.0520, augment:0.3264
read:1.4641, augment:0.2832
read:1.4191, augment:0.2871
read:0.7195, augment:0.2589
read:3.3920, augment:0.3052
read:1.5335, augment:0.2036
read:1.6179, augment:0.2742
read:8.4960, augment:0.3283
read:2.9566, augment:0.2751
read:2.2869, augment:0.2732
read:6.3057, augment:0.2871
read:1.5495, augment:0.2704
read:1.7734, augment:0.2799
read:3.4778, augment:0.2756
read:2.8946, augment:0.2780
read:5.1625, augment:0.2749
read:1.4386, augment:0.2499
read:3.1128, augment:0.2797
read:3.4761, augment:0.2792
read:1.7207, augment:0.2718
read:0.9477, augment:0.2682
read:1.6937, augment:0.2654
read:1.9715, augment:0.2663
read:1.2753, augment:0.2747
read:4.9810, augment:0.2730
read:0.8829, augment:0.2642
read:1.2691, augment:0.2644
read:1.9526, augment:0.2658
read:1.7703, augment:0.2618
read:1.9417, augment:0.2635
read:0.2952, augment:0.2229
read:4.7736, augment:0.2751
read:1.7800, augment:0.2730
read:1.8959, augment:0.2749
read:1.3764, augment:0.2303
read:2.0421, augment:0.2744
read:2.7592, augment:0.2751
read:0.9828, augment:0.2620
read:2.9941, augment:0.2770
read:0.6163, augment:0.2561
read:3.2039, augment:0.2747
read:2.1133, augment:0.2768
read:3.4900, augment:0.2718
read:1.2066, augment:0.2689
read:5.4059, augment:0.2732
read:0.3223, augment:0.2556
read:4.2739, augment:0.3045
read:0.8869, augment:0.2794
read:1.5876, augment:0.2673
read:1.0672, augment:0.2861
read:2.0645, augment:0.2744
read:1.1666, augment:0.2811
read:0.5791, augment:0.2749
read:0.6421, augment:0.2573
read:0.6216, augment:0.2725
read:8.8832, augment:0.3657
read:0.9849, augment:0.2401
read:2.5182, augment:0.2661
read:0.7524, augment:0.2625
read:0.1698, augment:0.1819
read:1.8475, augment:0.2978
read:2.0192, augment:0.2670
read:2.1741, augment:0.3083
read:3.0434, augment:0.3200
read:0.8209, augment:0.2749
read:1.2031, augment:0.2840
read:2.5809, augment:0.2925
read:0.9868, augment:0.2749
read:2.3832, augment:0.2863
read:2.4695, augment:0.3152
read:0.8488, augment:0.2880
read:0.6387, augment:0.2720
read:0.4613, augment:0.2573
read:0.6847, augment:0.2937
read:0.8898, augment:0.2646
read:3.5586, augment:0.2756
read:0.3815, augment:0.2487
read:1.1699, augment:0.2327
read:1.2455, augment:0.2975
read:2.8815, augment:0.3028
read:2.2528, augment:0.2680
read:0.2313, augment:0.2182
read:1.6613, augment:0.2944
read:1.2202, augment:0.2878
read:1.2703, augment:0.2749
read:1.5442, augment:0.2630
read:2.1729, augment:0.2723
read:1.9341, augment:0.2587
read:1.9820, augment:0.2651
read:23.0243, augment:0.4961
read:0.7493, augment:0.2608
read:2.0981, augment:0.2875
read:0.4904, augment:0.2553
read:3.0599, augment:0.2825
read:0.3631, augment:0.2525
read:2.0850, augment:0.2711
read:3.2730, augment:0.2789
read:0.8504, augment:0.2816
read:1.6382, augment:0.2773
read:3.7525, augment:0.2792
read:1.8032, augment:0.2618
read:2.4266, augment:0.2780
read:3.9527, augment:0.2756
read:1.6105, augment:0.2773
read:0.6049, augment:0.2551
read:0.7267, augment:0.2570
read:1.1199, augment:0.2806
read:3.5791, augment:0.2744
read:1.3304, augment:0.2322
read:1.4632, augment:0.2575
read:1.2736, augment:0.2685
read:3.0932, augment:0.2787
read:2.3825, augment:0.2382
read:1.3974, augment:0.2725
read:3.1323, augment:0.2720
read:3.2051, augment:0.2723
read:2.2502, augment:0.2704
read:0.4613, augment:0.2310
read:0.5882, augment:0.2544
read:2.8303, augment:0.2689
read:2.6157, augment:0.2739
read:1.0502, augment:0.2594
read:1.1230, augment:0.2728
read:4.8325, augment:0.2744
read:1.4081, augment:0.2699
read:1.6906, augment:0.2668
read:0.5567, augment:0.2561
read:1.1203, augment:0.2587
read:2.1398, augment:0.2775
read:21.1301, augment:0.3505
read:1.6634, augment:0.2911
read:1.5612, augment:0.2382
read:4.0796, augment:0.2770
read:1.1671, augment:0.2737
read:2.6360, augment:0.2706
read:0.4985, augment:0.2429
read:0.7625, augment:0.2606
read:0.7956, augment:0.2561
read:2.1331, augment:0.2706
read:0.4580, augment:0.2565
read:0.9716, augment:0.2522
read:0.7710, augment:0.2587
read:6.4523, augment:0.2942
