read:0.9665, augment:0.6208
read:4.8084, augment:0.5221
read:1.6007, augment:0.2782
read:1.4141, augment:0.2735
read:0.7541, augment:0.2830
read:3.4351, augment:0.3159
read:1.5194, augment:0.2410
read:1.6220, augment:0.2759
read:8.7934, augment:0.3304
read:2.9345, augment:0.3271
read:2.3375, augment:0.2692
read:6.3279, augment:0.2763
read:1.5426, augment:0.2668
read:1.8678, augment:0.2873
read:3.4835, augment:0.2773
read:2.8858, augment:0.2766
read:5.1532, augment:0.2782
read:1.4336, augment:0.2561
read:3.0990, augment:0.2809
read:3.4773, augment:0.2770
read:1.7292, augment:0.2763
read:0.9327, augment:0.2615
read:1.6835, augment:0.2630
read:1.9650, augment:0.2728
read:1.2786, augment:0.2730
read:5.0855, augment:0.2394
read:0.8750, augment:0.2632
read:1.2643, augment:0.2708
read:1.9505, augment:0.2704
read:1.7638, augment:0.2704
read:1.9460, augment:0.2713
read:0.2949, augment:0.2270
read:4.9145, augment:0.2751
read:1.7707, augment:0.2754
read:1.8885, augment:0.2816
read:1.3714, augment:0.2606
read:2.0308, augment:0.2851
read:2.7323, augment:0.2782
read:0.9868, augment:0.2620
read:2.9702, augment:0.2754
read:0.6218, augment:0.2694
read:3.1815, augment:0.2792
read:2.1110, augment:0.2787
read:3.3817, augment:0.2785
read:1.2000, augment:0.2670
read:5.5156, augment:0.2801
read:0.3169, augment:0.2625
read:4.2276, augment:0.2794
read:0.8006, augment:0.2694
read:1.5979, augment:0.2756
read:0.9830, augment:0.2713
read:2.0769, augment:0.2804
read:1.0898, augment:0.2766
read:0.5448, augment:0.2511
read:0.6430, augment:0.2894
read:0.6402, augment:0.2787
read:8.8849, augment:0.3526
read:1.0078, augment:0.2594
read:2.7928, augment:0.2954
read:0.7744, augment:0.3414
read:0.1926, augment:0.2577
read:2.0142, augment:0.3049
read:2.1389, augment:0.3533
read:2.2686, augment:0.3011
read:3.1905, augment:0.2785
read:0.7648, augment:0.2925
read:1.3273, augment:0.2656
read:2.5296, augment:0.3057
read:1.0664, augment:0.2558
read:2.2593, augment:0.3035
read:2.4953, augment:0.2739
read:0.8037, augment:0.3223
read:0.7045, augment:0.2975
read:0.4594, augment:0.2382
read:0.6249, augment:0.2470
read:0.8299, augment:0.2630
read:3.5696, augment:0.2778
read:0.4344, augment:0.2828
read:1.2546, augment:0.2706
read:1.1308, augment:0.2668
read:3.0127, augment:0.2778
read:2.2745, augment:0.2830
read:0.2325, augment:0.2122
read:1.5104, augment:0.2604
read:1.1775, augment:0.2813
read:1.1723, augment:0.2437
read:1.4658, augment:0.3052
read:2.2340, augment:0.2725
read:2.0080, augment:0.2885
read:1.9965, augment:0.2706
read:23.2353, augment:0.5052
read:0.7510, augment:0.2604
read:2.0955, augment:0.2751
read:0.4878, augment:0.2546
read:3.0622, augment:0.2706
read:0.3622, augment:0.2468
read:2.1009, augment:0.2792
read:3.2761, augment:0.2763
read:0.7842, augment:0.2596
read:1.6079, augment:0.2782
read:3.7377, augment:0.2847
read:1.8036, augment:0.2668
read:2.4297, augment:0.2780
read:4.0243, augment:0.2952
read:1.6162, augment:0.2677
read:0.6046, augment:0.2553
read:0.7374, augment:0.2568
read:1.1237, augment:0.2720
read:3.5779, augment:0.2711
read:1.3237, augment:0.2367
read:1.4658, augment:0.2651
read:1.2622, augment:0.2663
read:3.2687, augment:0.2961
read:2.4638, augment:0.2551
read:1.3955, augment:0.2711
read:3.2413, augment:0.2782
read:3.3891, augment:0.2739
read:2.2900, augment:0.2959
read:0.4997, augment:0.2334
read:0.5875, augment:0.2530
read:2.9247, augment:0.2732
read:2.6362, augment:0.2897
read:1.1044, augment:0.2556
read:1.1194, augment:0.2863
read:5.0409, augment:0.2935
read:1.4539, augment:0.2687
read:1.6854, augment:0.3059
read:0.5894, augment:0.2701
read:1.1277, augment:0.2568
read:2.2035, augment:0.2911
read:21.6751, augment:0.4020
read:1.7238, augment:0.3040
read:1.5411, augment:0.2391
read:4.1902, augment:0.3107
read:1.2879, augment:0.3009
read:2.6600, augment:0.3061
read:0.5498, augment:0.2596
read:0.8018, augment:0.2627
read:0.7896, augment:0.2553
read:2.2712, augment:0.2728
read:0.4981, augment:0.2718
read:1.0111, augment:0.2556
read:0.8249, augment:0.2840
read:6.4771, augment:0.3047
read:1.1692, augment:0.2799
read:4.4346, augment:0.2861
read:0.3874, augment:0.2513
read:1.5545, augment:0.3102
read:4.2224, augment:0.2997
read:0.9668, augment:0.2799
