read:0.6137, augment:0.4377
read:2.9387, augment:0.3278
read:1.4491, augment:0.2773
read:1.4207, augment:0.2637
read:0.7191, augment:0.2587
read:3.3700, augment:0.3095
read:1.5285, augment:0.2367
read:1.6315, augment:0.2732
read:8.6832, augment:0.3366
read:2.9268, augment:0.2773
read:2.3677, augment:0.2787
read:6.3057, augment:0.2751
read:1.5419, augment:0.2668
read:1.7784, augment:0.2632
read:3.4606, augment:0.2840
read:2.8710, augment:0.2747
read:5.1444, augment:0.2794
read:1.4365, augment:0.2594
read:3.0863, augment:0.2847
read:3.4673, augment:0.2789
read:1.7116, augment:0.2778
read:0.9451, augment:0.2689
read:1.6837, augment:0.2716
read:1.9677, augment:0.2666
read:1.2808, augment:0.2754
read:4.9739, augment:0.2816
read:0.8802, augment:0.2649
read:1.2650, augment:0.2680
read:1.9457, augment:0.2670
read:1.7674, augment:0.2635
read:1.9376, augment:0.2725
read:0.2940, augment:0.2327
read:4.7631, augment:0.2761
read:1.8206, augment:0.2882
read:1.9217, augment:0.2751
read:1.3809, augment:0.2291
read:2.0247, augment:0.2732
read:2.7468, augment:0.2820
read:0.9799, augment:0.2551
read:2.9833, augment:0.2778
read:0.6135, augment:0.2637
read:3.1943, augment:0.2773
read:2.1045, augment:0.2766
read:3.3777, augment:0.2363
read:1.2023, augment:0.2682
read:5.4097, augment:0.2775
read:0.3452, augment:0.2639
read:4.2286, augment:0.2728
read:0.8020, augment:0.2694
read:1.5888, augment:0.2644
read:0.9904, augment:0.2711
read:2.0647, augment:0.2794
read:1.1003, augment:0.2694
read:0.5467, augment:0.2601
read:0.6430, augment:0.2618
read:0.5987, augment:0.2556
read:8.2500, augment:0.3328
read:0.9446, augment:0.2477
read:2.4152, augment:0.2847
read:0.7257, augment:0.2656
read:0.1702, augment:0.2174
read:1.7972, augment:0.2766
read:1.9686, augment:0.2739
read:2.0554, augment:0.2754
read:2.9769, augment:0.2933
read:0.7732, augment:0.2849
read:1.2045, augment:0.2851
read:2.4705, augment:0.3114
read:1.0266, augment:0.2775
read:2.2445, augment:0.2935
read:2.4190, augment:0.2966
read:0.8304, augment:0.3052
read:0.6802, augment:0.2933
read:0.4611, augment:0.2613
read:0.6247, augment:0.2606
read:0.8299, augment:0.2899
read:3.4802, augment:0.2775
read:0.3889, augment:0.2558
read:1.1697, augment:0.2720
read:1.1353, augment:0.2704
read:2.8596, augment:0.2754
read:2.2464, augment:0.2952
read:0.2489, augment:0.2193
read:1.5090, augment:0.2716
read:1.1146, augment:0.2658
read:1.1539, augment:0.2487
read:1.4656, augment:0.2615
