read:0.6680, augment:0.4580
read:3.2420, augment:0.3595
read:1.5802, augment:0.2975
read:1.5562, augment:0.2735
read:0.7176, augment:0.2611
read:3.4418, augment:0.3266
read:1.6468, augment:0.2620
read:1.7009, augment:0.2730
read:8.9211, augment:0.3245
read:3.0372, augment:0.2770
read:2.2647, augment:0.2718
read:6.3829, augment:0.2785
read:1.5442, augment:0.2670
read:1.7633, augment:0.2627
read:3.5639, augment:0.2766
read:2.8751, augment:0.2754
read:5.2223, augment:0.2723
read:1.5376, augment:0.2513
read:3.1443, augment:0.2952
read:3.4881, augment:0.2792
read:1.7362, augment:0.2692
read:0.9325, augment:0.2623
read:1.7896, augment:0.2673
read:1.9510, augment:0.2763
read:1.2798, augment:0.2704
read:4.9467, augment:0.2742
read:0.8690, augment:0.2694
read:1.2589, augment:0.2644
read:1.9302, augment:0.2632
read:1.7688, augment:0.2637
read:1.9224, augment:0.2661
read:0.2928, augment:0.2286
read:4.7443, augment:0.2759
read:1.7629, augment:0.2651
read:1.9941, augment:0.2692
read:1.3657, augment:0.2592
read:2.0337, augment:0.2708
read:2.7349, augment:0.2782
read:0.9739, augment:0.2601
read:2.9693, augment:0.2720
read:0.6151, augment:0.2608
read:3.1810, augment:0.2732
read:2.0885, augment:0.2792
read:3.3543, augment:0.2761
read:1.2071, augment:0.2697
read:5.3909, augment:0.2778
read:0.3386, augment:0.2711
read:4.3645, augment:0.2761
read:0.7992, augment:0.2623
read:1.5867, augment:0.2677
read:0.9880, augment:0.2642
read:2.0607, augment:0.2673
read:1.0860, augment:0.2747
read:0.5443, augment:0.2542
read:0.6382, augment:0.2584
read:0.5980, augment:0.2582
read:8.4214, augment:0.3259
read:0.9518, augment:0.2439
read:2.4090, augment:0.2782
read:0.7265, augment:0.2751
read:0.1712, augment:0.2198
read:1.7974, augment:0.2701
read:2.0516, augment:0.3009
read:2.1787, augment:0.2732
read:3.0885, augment:0.2902
read:0.7622, augment:0.2770
read:1.3115, augment:0.2811
read:2.4166, augment:0.3340
read:1.0490, augment:0.2737
read:2.2161, augment:0.3252
read:2.4602, augment:0.2937
read:0.8001, augment:0.3099
read:0.6802, augment:0.2990
read:0.4785, augment:0.2177
read:0.6239, augment:0.2661
read:0.8297, augment:0.2635
read:3.5379, augment:0.2959
read:0.4056, augment:0.2904
read:1.2355, augment:0.2725
read:1.1299, augment:0.2682
read:3.0053, augment:0.2735
read:2.2411, augment:0.2947
read:0.2522, augment:0.2162
read:1.5082, augment:0.2704
read:1.1868, augment:0.2820
read:1.2186, augment:0.2489
read:1.4629, augment:0.2637
read:2.2678, augment:0.2735
read:1.9886, augment:0.2866
read:2.0087, augment:0.2694
read:24.4691, augment:0.5643
read:0.8497, augment:0.2995
read:2.1415, augment:0.2873
read:0.5419, augment:0.2894
read:3.1312, augment:0.2720
read:0.4170, augment:0.2699
read:2.1963, augment:0.2789
read:3.3998, augment:0.2768
read:0.7858, augment:0.2680
read:1.7538, augment:0.2742
read:3.8993, augment:0.2763
read:1.7970, augment:0.3080
read:2.6262, augment:0.2973
read:4.1456, augment:0.2813
read:1.7576, augment:0.2789
read:0.6042, augment:0.2584
read:0.7272, augment:0.2635
read:1.2069, augment:0.3045
read:3.6981, augment:0.3037
read:1.3642, augment:0.2358
read:1.4842, augment:0.2928
read:1.3571, augment:0.2675
read:3.2356, augment:0.2882
read:2.3801, augment:0.2749
read:1.5018, augment:0.2718
read:3.2842, augment:0.2773
read:3.4552, augment:0.3030
read:2.2378, augment:0.2787
read:0.5178, augment:0.2596
read:0.6659, augment:0.2556
read:2.8594, augment:0.2916
read:2.6398, augment:0.2735
read:1.1218, augment:0.2856
read:1.1456, augment:0.2627
read:4.8287, augment:0.2756
read:1.4942, augment:0.2916
read:1.6751, augment:0.2704
read:0.5550, augment:0.2820
read:1.1988, augment:0.2558
read:2.1272, augment:0.2694
read:21.5087, augment:0.3307
read:1.6706, augment:0.2820
read:1.7185, augment:0.2394
read:4.0812, augment:0.2778
read:1.1508, augment:0.2708
read:2.7387, augment:0.2751
read:0.5009, augment:0.2282
read:0.7637, augment:0.2599
read:0.7935, augment:0.3614
read:2.3062, augment:0.3181
read:0.4895, augment:0.2797
read:1.0078, augment:0.2608
read:0.7679, augment:0.2611
read:6.3219, augment:0.2930
read:1.0505, augment:0.2491
read:4.1540, augment:0.2861
read:0.3912, augment:0.2270
read:1.5554, augment:0.2708
read:4.2074, augment:0.2902
read:0.9251, augment:0.2792
read:2.6708, augment:0.2892
read:3.1974, augment:0.2780
read:1.7776, augment:0.3014
read:0.2983, augment:0.2396
read:0.8643, augment:0.2954
read:3.3369, augment:0.2913
read:1.5590, augment:0.2837
read:3.6566, augment:0.2773
read:0.9723, augment:0.2930
read:1.3266, augment:0.2649
read:3.4118, augment:0.3028
read:2.1207, augment:0.2546
read:4.6570, augment:0.3147
read:2.1086, augment:0.2732
read:1.4913, augment:0.2730
read:0.1984, augment:0.2172
read:2.5215, augment:0.2975
read:6.2215, augment:0.2754
read:3.3677, augment:0.2689
read:1.9169, augment:0.2501
read:1.3404, augment:0.2382
read:3.1583, augment:0.2775
