read:1.4670, augment:1.4958
read:6.7642, augment:1.4446
read:4.0002, augment:1.2834
read:3.5999, augment:1.2128
read:1.7509, augment:1.1289
read:7.4596, augment:1.4617
read:3.0484, augment:1.0459
read:2.9845, augment:1.2848
read:17.6678, augment:1.4594
read:6.5081, augment:1.3583
read:4.9782, augment:1.3244
read:11.6680, augment:1.2648
read:3.2940, augment:1.1742
read:3.8257, augment:1.2331
read:7.4134, augment:1.3802
read:6.3024, augment:1.3230
read:9.8424, augment:1.2939
read:3.0773, augment:1.1280
read:7.1230, augment:1.3030
read:7.0245, augment:1.3783
read:3.9654, augment:1.2875
read:2.0607, augment:1.1642
read:3.6142, augment:1.2069
read:4.1068, augment:1.1806
read:2.2523, augment:1.3251
read:9.6450, augment:1.3773
read:2.1193, augment:1.1587
read:3.0982, augment:1.2112
read:4.0939, augment:1.2290
read:3.7620, augment:1.2319
read:4.0171, augment:1.3032
read:0.7901, augment:0.9406
read:9.1915, augment:1.3509
read:3.8588, augment:1.2720
read:4.1778, augment:1.4269
read:2.9891, augment:1.2448
read:4.5056, augment:1.2925
read:6.9792, augment:1.3902
read:2.5423, augment:1.1644
read:6.5169, augment:1.2274
read:1.4131, augment:1.1337
read:6.7718, augment:1.3666
read:4.6320, augment:1.3332
read:6.9752, augment:1.3494
read:2.7115, augment:1.2515
read:10.1969, augment:1.3077
read:0.6440, augment:1.1191
read:8.3785, augment:1.3652
read:1.4727, augment:1.2736
read:3.5312, augment:1.2906
read:1.6263, augment:1.3199
read:4.5533, augment:1.3137
read:1.9767, augment:1.2298
read:1.2388, augment:1.0889
read:1.6108, augment:0.9680
read:1.0602, augment:1.1816
read:17.0403, augment:1.4780
read:2.1029, augment:1.0695
read:5.4774, augment:1.3261
read:1.6508, augment:1.1945
read:0.4606, augment:0.9236
read:3.9203, augment:1.3225
read:4.1068, augment:1.2777
read:4.2543, augment:1.2310
read:6.4111, augment:1.3783
read:1.8322, augment:1.0827
read:2.7049, augment:1.1899
read:5.3253, augment:1.3633
read:2.1813, augment:1.1134
read:5.0361, augment:1.2655
read:5.2245, augment:1.3309
read:1.4215, augment:1.2505
read:1.5075, augment:1.0633
