read:1.4544, augment:1.4977
read:6.7716, augment:1.4808
read:3.9675, augment:1.2805
read:3.5434, augment:1.1775
read:1.7419, augment:1.0998
read:7.5002, augment:1.4377
read:3.0410, augment:0.9897
read:2.9211, augment:1.4200
read:17.4010, augment:1.5404
read:6.5203, augment:1.3056
read:4.9837, augment:1.4021
read:11.6861, augment:1.2493
read:3.2876, augment:1.1630
read:3.8137, augment:1.2429
read:7.4110, augment:1.3742
read:6.2828, augment:1.3618
read:9.8810, augment:1.2863
read:3.0687, augment:1.0850
read:7.1411, augment:1.3742
read:6.9144, augment:1.3862
read:3.9415, augment:1.3437
read:2.0945, augment:1.1640
read:3.6304, augment:1.2257
read:4.1206, augment:1.1771
read:2.2187, augment:1.4083
read:9.6262, augment:1.3623
read:2.1312, augment:1.1268
read:3.0866, augment:1.2357
read:4.1039, augment:1.2109
read:3.7539, augment:1.2870
read:3.9635, augment:1.1892
read:0.7687, augment:0.9770
read:9.2509, augment:1.3022
read:3.8922, augment:1.2252
read:4.1835, augment:1.4355
read:2.9805, augment:1.2133
read:4.5116, augment:1.2970
read:6.9675, augment:1.3540
read:2.5213, augment:1.1606
read:6.5334, augment:1.3928
read:1.4429, augment:1.1220
read:6.8152, augment:1.2891
read:4.6628, augment:1.3196
read:6.9461, augment:1.2784
read:2.7368, augment:1.2410
read:10.2322, augment:1.2953
read:0.6728, augment:1.0736
read:8.3904, augment:1.2965
read:1.4997, augment:1.2431
read:3.4306, augment:1.2040
read:1.6093, augment:1.2946
read:4.5540, augment:1.3144
read:1.9765, augment:1.2779
read:1.2288, augment:1.0886
read:1.5953, augment:1.0927
read:1.0474, augment:1.1485
read:17.0484, augment:1.5683
read:2.0902, augment:1.1141
read:5.4398, augment:1.3382
read:1.6861, augment:1.0872
read:0.4523, augment:0.9251
read:3.9115, augment:1.3213
read:4.1194, augment:1.1663
read:4.2372, augment:1.1966
read:6.4442, augment:1.3046
read:1.8594, augment:1.1103
read:2.6965, augment:1.1125
read:5.3439, augment:1.2987
read:2.1667, augment:1.1492
read:4.9798, augment:1.2989
read:5.2242, augment:1.4055
read:1.4150, augment:1.2474
read:1.5078, augment:1.0977
read:1.1206, augment:1.0171
read:1.1234, augment:1.1024
read:1.4343, augment:1.1637
read:6.9978, augment:1.4360
read:0.9995, augment:1.0340
read:2.0387, augment:1.2741
read:2.0242, augment:1.2364
read:6.3169, augment:1.3320
read:4.6935, augment:1.2369
read:0.6487, augment:0.9356
read:3.2375, augment:1.1930
read:2.2268, augment:1.1826
read:2.0857, augment:1.0302
read:3.1118, augment:1.2641
read:4.7290, augment:1.2498
read:4.1211, augment:1.2627
read:4.3080, augment:1.2248
read:53.3957, augment:2.1064
read:1.3545, augment:1.1425
read:4.6608, augment:1.3437
read:1.1816, augment:1.0998
read:6.4352, augment:1.3278
read:0.9718, augment:1.0829
read:3.8061, augment:1.3103
read:7.1590, augment:1.3497
read:1.4839, augment:1.1916
read:4.1828, augment:1.3626
read:8.3420, augment:1.3161
read:3.7775, augment:1.1547
read:5.3077, augment:1.3638
read:8.0581, augment:1.2984
read:2.9180, augment:1.3106
read:1.4131, augment:1.1547
read:1.2829, augment:1.0965
read:1.8556, augment:1.3182
read:7.8001, augment:1.4229
read:2.6793, augment:1.1117
read:3.1350, augment:1.3180
read:2.7997, augment:1.2336
read:6.3264, augment:1.3456
read:4.2963, augment:1.0908
read:2.5089, augment:1.2705
read:7.0934, augment:1.3814
read:6.8491, augment:1.2655
read:4.9884, augment:1.4448
read:0.8895, augment:1.0204
read:1.4677, augment:1.0750
read:6.1281, augment:1.3020
read:5.7337, augment:1.2879
read:2.2724, augment:1.1485
read:2.5415, augment:1.2727
read:9.6614, augment:1.3473
read:3.3700, augment:1.2455
read:3.6869, augment:1.2133
read:1.2431, augment:1.0939
read:2.3904, augment:1.1117
read:4.6995, augment:1.4520
read:47.9529, augment:1.4968
read:3.4761, augment:1.2884
read:3.0630, augment:1.1239
read:8.2688, augment:1.3518
read:2.6441, augment:1.3797
read:5.8210, augment:1.3893
read:0.9961, augment:1.0905
read:1.8344, augment:1.2069
read:1.7610, augment:1.0698
read:4.5743, augment:1.3199
read:1.1139, augment:1.0381
read:2.0914, augment:1.1511
read:1.7176, augment:1.1282
read:11.3316, augment:1.3056
read:2.0471, augment:1.0095
read:9.1805, augment:1.3783
read:1.0414, augment:1.0149
read:3.9093, augment:1.2295
read:8.2331, augment:1.3621
read:1.9290, augment:1.1997
read:5.5325, augment:1.2994
read:6.3274, augment:1.3380
read:3.7177, augment:1.1775
read:0.6375, augment:0.9742
read:1.7006, augment:1.1411
read:6.7019, augment:1.4367
read:2.8255, augment:1.2507
read:7.0710, augment:1.3580
read:2.1653, augment:1.1430
read:2.5938, augment:1.1458
read:6.8176, augment:1.3576
read:4.2765, augment:1.2460
read:8.8274, augment:1.3654
read:3.7396, augment:1.3857
read:2.9771, augment:1.1787
read:0.5476, augment:0.8953
read:4.9727, augment:1.3638
read:11.4760, augment:1.3540
read:7.1099, augment:1.3039
read:3.9725, augment:1.2002
read:2.7614, augment:1.1485
read:6.8510, augment:1.4427
read:3.4223, augment:1.4386
read:2.0661, augment:1.2014
read:0.5286, augment:0.9196
read:4.4718, augment:1.2817
read:3.6445, augment:1.2543
read:42.6371, augment:1.4546
read:8.8451, augment:1.3099
read:0.6099, augment:0.9825
read:1.2650, augment:1.1258
read:5.9743, augment:1.2887
read:2.0266, augment:1.0455
read:5.9412, augment:1.3962
read:1.3897, augment:1.0798
read:4.1001, augment:1.4546
read:6.7680, augment:1.4217
read:1.1189, augment:0.9887
read:10.6156, augment:1.3149
read:2.9280, augment:1.3084
read:4.0977, augment:1.3309
read:5.6541, augment:1.3063
read:7.2773, augment:1.3723
read:2.5730, augment:1.3745
read:3.2206, augment:1.1981
read:6.9268, augment:1.3187
read:3.5217, augment:1.1909
read:4.3457, augment:1.3120
read:1.5309, augment:1.2317
read:15.2636, augment:1.3187
read:9.3160, augment:1.3764
read:1.7145, augment:1.4362
read:1.4551, augment:1.0657
read:62.5207, augment:2.4357
read:6.9022, augment:1.3568
read:1.3676, augment:1.0228
read:6.5258, augment:1.2803
read:3.3216, augment:1.1170
read:0.7474, augment:0.9410
read:0.8612, augment:0.9558
read:8.3783, augment:1.3704
read:2.0158, augment:1.2436
read:17.1421, augment:1.1537
read:3.0396, augment:1.1454
read:1.6568, augment:1.3051
read:5.3566, augment:1.3654
read:3.2909, augment:1.2250
read:4.8156, augment:1.3065
read:1.5755, augment:1.3087
read:2.4474, augment:1.1950
read:2.2535, augment:1.2400
read:2.6608, augment:1.3359
read:0.7699, augment:1.0176
read:6.7315, augment:1.3661
read:7.7703, augment:1.3490
read:1.6313, augment:1.1888
read:1.1935, augment:1.2360
read:7.8247, augment:1.3185
read:2.8403, augment:1.3883
read:6.6743, augment:1.2996
read:4.4773, augment:1.2949
read:2.5816, augment:1.4808
read:1.3902, augment:1.1947
read:3.4606, augment:1.2443
read:2.1641, augment:1.1723
read:1.6441, augment:1.2610
read:1.0054, augment:1.2436
read:2.7356, augment:1.1611
read:2.5334, augment:1.3530
read:1.7228, augment:1.2245
read:2.7966, augment:1.1344
read:8.2629, augment:1.2915
read:1.9774, augment:1.2214
read:8.0807, augment:1.3978
read:4.4429, augment:1.3161
read:2.1927, augment:1.3285
read:3.6535, augment:1.2803
read:1.8861, augment:1.2922
read:1.6253, augment:1.2815
read:4.8695, augment:1.4586
read:0.6642, augment:0.9429
read:1.0433, augment:1.0273
read:7.0977, augment:1.3030
read:3.4926, augment:1.2891
read:8.9560, augment:1.3802
read:1.1096, augment:1.0254
read:6.9933, augment:1.3406
read:5.8544, augment:1.2920
read:5.6827, augment:1.1525
read:8.7438, augment:1.2929
read:13.9112, augment:1.3330
read:3.2573, augment:1.2093
read:2.1610, augment:1.1244
read:2.9857, augment:1.3456
