../stl10/train_images/train_image_png_1.png
5000
read:1.0095, augment:1.4563
read:0.6554, augment:1.0045
read:0.6933, augment:0.9406
read:0.6621, augment:0.9041
read:0.6888, augment:0.9394
read:0.6804, augment:0.9127
read:0.6187, augment:0.9453
read:0.6106, augment:0.9029
read:0.7002, augment:0.8748
read:0.6979, augment:0.8872
read:0.6232, augment:0.8781
read:0.6979, augment:0.9496
read:0.6528, augment:0.9146
read:0.6857, augment:0.8991
read:0.5660, augment:0.9105
read:0.6967, augment:0.8712
read:0.6728, augment:0.9124
read:0.6347, augment:0.9248
read:0.6845, augment:0.8507
read:0.7000, augment:0.9189
read:0.7164, augment:0.9012
read:0.6499, augment:0.9296
read:0.7298, augment:0.9050
read:0.6592, augment:0.8903
read:0.7253, augment:0.8917
read:0.6776, augment:0.8693
read:0.6506, augment:0.8976
read:0.6173, augment:0.9141
read:0.7000, augment:0.8962
read:0.6814, augment:0.9079
read:0.7007, augment:0.8693
read:0.6237, augment:0.8771
read:0.7043, augment:0.9100
read:0.6220, augment:0.8960
read:0.7107, augment:0.9084
read:0.6692, augment:0.8907
read:0.6173, augment:0.8953
read:0.6483, augment:0.8898
read:0.6783, augment:0.8569
read:0.6275, augment:0.9108
read:0.6986, augment:0.9110
read:0.6390, augment:0.8960
read:0.7794, augment:0.9751
read:0.7057, augment:0.8910
read:0.6974, augment:0.8993
read:0.6599, augment:0.8702
read:0.6833, augment:0.9062
read:0.6118, augment:0.8874
read:0.6506, augment:0.8948
read:0.7205, augment:0.9255
read:0.6852, augment:0.9258
read:0.6640, augment:0.8960
read:0.6666, augment:0.8936
read:0.6044, augment:0.9050
read:0.6902, augment:0.9687
read:0.6819, augment:0.8855
read:0.6735, augment:0.8919
read:0.6573, augment:0.8771
read:0.6022, augment:0.8669
read:0.6752, augment:0.9227
read:0.7210, augment:0.9267
read:0.6630, augment:0.7262
read:0.6137, augment:0.8807
read:0.6852, augment:0.8726
read:0.6199, augment:0.9027
read:0.6254, augment:0.9146
read:0.6948, augment:0.8698
read:0.7105, augment:0.9179
read:0.6306, augment:0.8607
read:0.6721, augment:0.7966
read:0.7091, augment:0.8934
read:0.6917, augment:0.9022
read:0.6869, augment:0.9041
read:0.7052, augment:0.8974
read:0.6773, augment:0.8991
read:0.6449, augment:0.9201
read:0.6397, augment:0.8910
read:0.6220, augment:0.8562
read:0.6080, augment:0.9077
read:0.6366, augment:0.8574
read:0.7014, augment:0.9265
read:0.7102, augment:0.8874
read:0.6571, augment:0.9234
read:0.6909, augment:0.9091
read:0.6990, augment:0.9463
read:0.6745, augment:0.8998
read:0.6616, augment:0.8693
read:0.6921, augment:0.9181
read:0.6771, augment:0.9761
read:0.6912, augment:0.9394
read:0.6917, augment:0.8774
read:0.6025, augment:0.8719
read:0.7386, augment:0.8767
read:0.5994, augment:0.8774
read:0.6473, augment:0.8781
read:0.6347, augment:0.9348
read:0.6611, augment:0.8559
read:0.6504, augment:0.9356
read:0.6850, augment:0.8721
read:0.6528, augment:0.9127
read:0.6366, augment:0.8848
read:0.6232, augment:0.9086
read:0.6638, augment:0.9031
read:0.6709, augment:0.9315
read:0.6702, augment:0.8991
read:0.7489, augment:0.9282
read:0.6795, augment:0.9181
read:0.6907, augment:0.9577
read:0.6874, augment:0.8924
read:0.6788, augment:0.9623
read:0.7069, augment:0.9344
read:0.6969, augment:0.8855
read:0.5982, augment:0.9623
read:0.7007, augment:0.8719
read:0.6907, augment:0.8993
read:0.6523, augment:0.9139
read:0.6695, augment:0.8829
read:0.7181, augment:0.9675
read:0.7310, augment:0.9382
read:0.6366, augment:0.9515
read:0.7107, augment:0.9112
read:0.6289, augment:0.8759
read:0.6886, augment:0.9055
read:0.7007, augment:0.9077
read:0.6604, augment:0.8769
read:0.6595, augment:0.9217
read:0.6969, augment:0.8876
read:0.7424, augment:0.8900
read:0.6540, augment:0.7336
read:0.6056, augment:0.8752
read:0.7079, augment:0.9301
read:0.6864, augment:0.8736
read:0.5782, augment:0.9668
read:0.6943, augment:0.8821
read:0.6554, augment:0.8941
read:0.7615, augment:0.9212
read:0.5388, augment:0.9000
read:0.6514, augment:0.9077
read:0.6931, augment:0.8852
read:0.5932, augment:0.9027
read:0.6888, augment:0.9050
read:0.5722, augment:0.8497
read:0.6859, augment:0.8991
read:0.7105, augment:0.8919
read:0.6268, augment:0.8657
read:0.6998, augment:0.8864
read:0.6771, augment:0.8445
read:0.6685, augment:0.8864
read:0.6573, augment:0.9222
read:0.6571, augment:0.8769
read:0.6440, augment:0.8979
read:0.6535, augment:0.9074
read:0.6812, augment:0.7508
read:0.7136, augment:0.8767
read:0.6039, augment:0.8597
read:0.7038, augment:0.9556
read:0.6917, augment:0.8683
read:0.6328, augment:0.8640
read:0.7565, augment:0.9241
read:0.6921, augment:0.9067
read:0.6874, augment:0.9038
read:0.6909, augment:0.8945
read:0.6840, augment:0.8667
read:0.6835, augment:0.9098
read:0.7138, augment:0.8683
read:0.7081, augment:0.9379
read:0.6576, augment:0.9131
read:0.6738, augment:0.8960
read:0.6492, augment:0.9041
read:0.6888, augment:0.8681
read:0.6223, augment:0.9091
read:0.7234, augment:0.8757
read:0.6614, augment:0.8657
read:0.6478, augment:0.9260
read:0.6340, augment:0.8874
read:0.6890, augment:0.9396
read:0.7474, augment:1.0421
read:0.6461, augment:0.9496
read:0.6626, augment:0.9315
read:0.6912, augment:0.9000
read:0.7536, augment:0.9396
read:0.7100, augment:0.8991
read:0.7107, augment:0.9017
read:0.7012, augment:0.8600
read:0.6640, augment:0.8647
read:0.7064, augment:0.8938
read:0.6337, augment:0.8621
read:0.6196, augment:0.8938
read:0.6595, augment:0.9134
read:0.6125, augment:0.9005
read:0.6595, augment:0.9091
read:0.6158, augment:0.9050
read:0.6828, augment:0.8738
read:0.6826, augment:0.9284
read:0.6325, augment:0.8967
read:0.6459, augment:0.9363
read:0.7432, augment:0.8714
read:0.6778, augment:0.9413
read:0.6835, augment:0.9120
read:0.7117, augment:0.9024
read:0.5603, augment:0.9191
read:0.6773, augment:0.9177
read:0.6793, augment:0.8802
read:0.6740, augment:0.9084
read:0.6950, augment:0.9055
read:0.5894, augment:0.9117
read:0.6816, augment:0.8640
read:0.6187, augment:0.8664
read:0.7176, augment:0.9408
read:0.5991, augment:0.8893
read:0.7148, augment:0.9136
read:0.5913, augment:0.8852
read:0.5991, augment:0.8852
read:0.6742, augment:0.8821
read:0.6866, augment:0.7241
read:0.6552, augment:0.8881
read:0.6349, augment:0.9177
read:0.6962, augment:0.8647
read:0.7114, augment:0.8905
read:0.6156, augment:0.9141
read:0.6249, augment:0.9079
read:0.6642, augment:0.8771
read:0.6769, augment:0.8957
read:0.6962, augment:0.8955
read:0.6261, augment:0.9055
read:0.7160, augment:0.8543
read:0.6795, augment:0.7348
read:0.6621, augment:0.8984
read:0.6070, augment:0.8976
read:0.6824, augment:0.8643
read:0.6897, augment:0.8912
read:0.7200, augment:0.8969
read:0.5832, augment:0.8657
read:0.7036, augment:0.9124
read:0.7331, augment:0.8824
read:0.5858, augment:0.8595
read:0.7043, augment:0.8943
read:0.7000, augment:0.8705
read:0.6740, augment:0.8953
read:0.6676, augment:0.8895
read:0.6549, augment:0.9048
read:0.7212, augment:0.8860
read:0.5724, augment:0.9007
read:0.7098, augment:0.8957
read:0.7064, augment:0.8814
read:0.6950, augment:0.8965
read:0.6421, augment:0.9158
read:0.6471, augment:0.8960
read:0.6707, augment:0.9460
read:0.6206, augment:0.9980
read:0.7064, augment:0.9623
read:0.7064, augment:0.8903
read:0.6833, augment:0.9153
read:0.6156, augment:0.9413
read:0.6907, augment:0.8526
read:0.6101, augment:0.8993
read:0.6282, augment:0.8955
read:0.6804, augment:0.9089
read:0.7076, augment:0.9146
read:0.6719, augment:0.8781
read:0.6757, augment:0.8528
read:0.7432, augment:0.9322
read:0.6759, augment:0.9072
read:0.6361, augment:0.9165
read:0.6666, augment:0.9053
read:0.7050, augment:0.8607
read:0.6580, augment:0.9377
read:0.7236, augment:0.9084
read:0.6719, augment:0.9067
read:0.6866, augment:0.9096
read:0.6895, augment:0.8805
read:0.7391, augment:0.8807
read:0.6676, augment:0.8950
read:0.6237, augment:0.8886
read:0.6661, augment:0.8850
read:0.6249, augment:0.9007
read:0.6952, augment:0.8855
read:0.7067, augment:0.8781
read:0.5755, augment:0.8953
read:0.6084, augment:0.9103
read:0.6692, augment:0.8671
read:0.6721, augment:0.9127
read:0.6952, augment:0.8771
read:0.6931, augment:0.9029
read:0.7181, augment:0.8767
read:0.5894, augment:0.8585
