read:0.6785, augment:0.4680
read:3.0968, augment:0.3462
read:1.4563, augment:0.2813
read:1.5352, augment:0.2546
read:0.8020, augment:0.2706
read:3.6538, augment:0.3061
read:1.5213, augment:0.2334
read:1.7359, augment:0.2806
read:8.9283, augment:0.3271
read:3.0873, augment:0.2787
read:2.3782, augment:0.3216
read:6.4607, augment:0.3109
read:1.6589, augment:0.2687
read:1.7712, augment:0.2987
read:3.5880, augment:0.2773
read:3.0315, augment:0.2799
read:5.3992, augment:0.2987
read:1.4808, augment:0.2532
read:3.2003, augment:0.2723
read:3.5722, augment:0.2778
read:1.7140, augment:0.2780
read:1.0264, augment:0.2980
read:1.6861, augment:0.2320
read:2.0692, augment:0.2706
read:1.2810, augment:0.2742
read:5.1143, augment:0.2971
read:0.9191, augment:0.2637
read:1.2600, augment:0.2687
read:2.0487, augment:0.2656
read:1.7669, augment:0.2694
read:2.0440, augment:0.2708
read:0.2940, augment:0.2203
read:4.8594, augment:0.2761
read:1.8716, augment:0.2697
read:1.8873, augment:0.2728
read:1.4799, augment:0.2670
read:2.0342, augment:0.3076
read:2.8129, augment:0.2794
read:1.0717, augment:0.2973
read:3.0439, augment:0.2792
read:0.6709, augment:0.2811
read:3.2418, augment:0.3006
read:2.1605, augment:0.2835
read:3.4852, augment:0.2809
read:1.2033, augment:0.2751
read:5.5213, augment:0.2818
read:0.3166, augment:0.2584
read:4.2279, augment:0.3037
read:0.8740, augment:0.3068
read:1.7011, augment:0.2685
read:1.0278, augment:0.2933
read:2.1970, augment:0.2799
read:1.0917, augment:0.2866
read:0.5794, augment:0.2794
read:0.6857, augment:0.2854
read:0.5994, augment:0.2599
read:8.8611, augment:0.3514
read:1.0018, augment:0.2639
read:2.6195, augment:0.2866
read:0.7701, augment:0.2770
read:0.1824, augment:0.2303
read:1.9312, augment:0.2778
read:2.0578, augment:0.2885
read:2.1935, augment:0.2999
read:3.1064, augment:0.2809
read:0.8614, augment:0.2906
read:1.3113, augment:0.2735
read:2.6143, augment:0.2968
read:1.0211, augment:0.2737
read:2.3971, augment:0.3047
read:2.4316, augment:0.3083
read:0.9081, augment:0.2956
read:0.7176, augment:0.2744
read:0.4919, augment:0.2544
read:0.6464, augment:0.2532
read:0.9112, augment:0.2840
read:3.7088, augment:0.3061
read:0.4253, augment:0.2570
read:1.1714, augment:0.2766
read:1.1787, augment:0.2961
read:2.9304, augment:0.2759
read:2.3367, augment:0.2706
read:0.2320, augment:0.2217
read:1.5552, augment:0.2871
read:1.1477, augment:0.2625
read:1.1513, augment:0.2112
read:1.5471, augment:0.2892
read:2.1608, augment:0.2718
read:2.0421, augment:0.2301
read:1.9746, augment:0.3157
read:23.6053, augment:0.5574
read:0.8099, augment:0.2594
read:2.0981, augment:0.2794
read:0.5407, augment:0.2747
read:3.0875, augment:0.3116
read:0.3865, augment:0.2649
read:2.1434, augment:0.2823
read:3.3691, augment:0.2759
read:0.7880, augment:0.2623
read:1.8120, augment:0.3033
read:3.9327, augment:0.2773
read:1.8375, augment:0.2804
read:2.4803, augment:0.2773
read:4.0739, augment:0.2787
read:1.6193, augment:0.2744
read:0.6056, augment:0.2561
read:0.7646, augment:0.2713
read:1.2598, augment:0.3021
read:3.6786, augment:0.2964
read:1.3576, augment:0.2353
read:1.6069, augment:0.2971
read:1.3301, augment:0.3064
read:3.2246, augment:0.2773
read:2.3839, augment:0.2699
read:1.4870, augment:0.2747
read:3.1374, augment:0.2797
read:3.2184, augment:0.2413
read:2.2416, augment:0.2723
read:0.4644, augment:0.2453
read:0.5898, augment:0.2627
read:2.8179, augment:0.2828
read:2.6035, augment:0.2747
read:1.0526, augment:0.2680
read:1.1239, augment:0.2697
read:4.8382, augment:0.2737
read:1.4143, augment:0.2739
read:1.6809, augment:0.2635
read:0.5543, augment:0.2599
read:1.1277, augment:0.2666
read:2.1517, augment:0.2947
read:21.0693, augment:0.3116
read:1.5736, augment:0.2728
read:1.5328, augment:0.2384
read:4.0233, augment:0.2906
read:1.2052, augment:0.2718
read:2.6417, augment:0.2749
read:0.5357, augment:0.2501
read:0.7946, augment:0.2720
read:0.8430, augment:0.2804
read:2.1365, augment:0.2718
read:0.4570, augment:0.2515
read:0.9949, augment:0.2882
read:0.8187, augment:0.2763
read:6.5351, augment:0.3183
read:1.1654, augment:0.2520
read:4.3051, augment:0.2794
read:0.3879, augment:0.2491
read:1.6229, augment:0.3004
read:4.1618, augment:0.3006
read:0.8678, augment:0.2568
read:2.6131, augment:0.3004
read:2.9609, augment:0.3107
read:1.8635, augment:0.2577
read:0.2611, augment:0.2122
read:0.7906, augment:0.2708
read:3.1102, augment:0.2720
read:1.4615, augment:0.2599
read:3.5439, augment:0.2952
read:0.9620, augment:0.2811
read:1.3309, augment:0.2882
read:3.3104, augment:0.2744
read:1.9817, augment:0.2687
read:4.6377, augment:0.3040
read:2.2058, augment:0.2902
read:1.3592, augment:0.2575
read:0.1988, augment:0.2091
read:2.3553, augment:0.2396
read:6.0284, augment:0.2730
read:3.2604, augment:0.2713
read:1.8549, augment:0.2649
read:1.3211, augment:0.2341
read:3.3448, augment:0.2787
read:1.8761, augment:0.2739
read:0.8426, augment:0.2546
read:0.2007, augment:0.2084
read:2.1782, augment:0.2694
read:1.7316, augment:0.2642
read:19.9244, augment:0.3560
read:3.9887, augment:0.3128
read:0.2544, augment:0.2389
read:0.5558, augment:0.2913
read:3.1159, augment:0.3028
read:1.1005, augment:0.2556
read:3.1116, augment:0.3042
read:0.6394, augment:0.2561
read:1.8826, augment:0.3002
read:3.4156, augment:0.3281
read:0.5774, augment:0.2666
read:5.9321, augment:0.2427
read:1.7254, augment:0.3042
read:1.9078, augment:0.2680
read:2.6670, augment:0.2735
read:3.2966, augment:0.2789
read:1.4243, augment:0.2372
read:1.6334, augment:0.2618
read:3.2175, augment:0.2780
read:1.6270, augment:0.2642
read:2.0211, augment:0.2670
read:0.8326, augment:0.2298
read:7.9737, augment:0.2737
read:4.1370, augment:0.2763
read:0.9873, augment:0.2921
read:0.6614, augment:0.2754
read:23.6731, augment:0.4284
read:3.1753, augment:0.2832
read:0.5841, augment:0.2530
read:3.0708, augment:0.2801
read:1.5905, augment:0.2499
read:0.2768, augment:0.2191
read:0.3760, augment:0.2470
read:3.1474, augment:0.2794
