read:0.6373, augment:0.4387
read:3.0625, augment:0.3347
read:1.4470, augment:0.2832
read:1.5261, augment:0.2866
read:0.7210, augment:0.2556
read:3.4900, augment:0.3078
read:1.5504, augment:0.2611
read:1.6859, augment:0.2782
read:8.5719, augment:0.3300
read:3.0441, augment:0.2804
read:2.3487, augment:0.2909
read:6.3109, augment:0.2797
read:1.6496, augment:0.2701
read:1.7617, augment:0.2642
read:3.5763, augment:0.2799
read:2.9817, augment:0.2747
read:5.1649, augment:0.2999
read:1.4970, augment:0.2513
read:3.1967, augment:0.2844
read:3.5529, augment:0.2918
read:1.7097, augment:0.2728
read:0.9828, augment:0.2751
read:1.7309, augment:0.2713
read:2.0256, augment:0.2823
read:1.2980, augment:0.2778
read:5.0735, augment:0.2737
read:0.9525, augment:0.2842
read:1.3297, augment:0.2851
read:1.9674, augment:0.2699
read:1.8592, augment:0.2708
read:2.0418, augment:0.2713
read:0.2928, augment:0.2313
read:4.7467, augment:0.2773
read:1.8451, augment:0.2913
read:1.8954, augment:0.2778
read:1.3828, augment:0.2580
read:2.0566, augment:0.2711
read:2.8493, augment:0.2766
read:0.9818, augment:0.2630
read:2.9786, augment:0.2766
read:0.6154, augment:0.2627
read:3.3638, augment:0.2797
read:2.1110, augment:0.2739
read:3.3724, augment:0.2761
read:1.2021, augment:0.2661
read:5.7995, augment:0.3061
read:0.3495, augment:0.2937
read:4.7069, augment:0.3216
read:0.9120, augment:0.3107
read:1.7583, augment:0.3049
read:1.1046, augment:0.2997
read:2.3215, augment:0.3133
read:1.1566, augment:0.3378
read:0.6180, augment:0.2894
read:0.7184, augment:0.2785
read:0.6385, augment:0.2789
read:8.9362, augment:0.3374
read:1.0538, augment:0.2737
read:2.4436, augment:0.2792
read:0.8123, augment:0.2902
read:0.1888, augment:0.2441
read:1.7939, augment:0.2761
read:2.1095, augment:0.2711
read:2.0497, augment:0.3066
read:3.0863, augment:0.2968
read:0.8290, augment:0.3116
read:1.2631, augment:0.2820
read:2.4254, augment:0.2909
read:0.9820, augment:0.2420
read:2.2285, augment:0.2842
read:2.3859, augment:0.2930
read:0.8125, augment:0.2844
read:0.6399, augment:0.2782
read:0.4592, augment:0.2530
read:0.6237, augment:0.2668
read:0.8307, augment:0.2773
read:3.3967, augment:0.2725
read:0.3872, augment:0.2615
read:1.1685, augment:0.2348
read:1.1292, augment:0.2670
read:2.8560, augment:0.2744
read:2.1803, augment:0.2775
read:0.2310, augment:0.2222
read:1.5085, augment:0.2685
read:1.1153, augment:0.2635
read:1.1501, augment:0.2482
read:1.4637, augment:0.2675
read:2.1718, augment:0.2732
read:1.9426, augment:0.2716
read:1.9758, augment:0.2704
read:22.8915, augment:0.4978
read:0.7470, augment:0.2589
read:2.1067, augment:0.2754
read:0.4902, augment:0.2546
read:3.0718, augment:0.2761
read:0.3633, augment:0.2484
read:2.0952, augment:0.2766
read:3.2539, augment:0.2804
read:0.8509, augment:0.2847
read:1.6174, augment:0.2708
read:3.7494, augment:0.2754
read:1.8837, augment:0.2954
read:2.4118, augment:0.2747
read:3.9415, augment:0.3109
read:1.6665, augment:0.2773
read:0.6056, augment:0.2575
read:0.7281, augment:0.2637
read:1.1222, augment:0.2730
read:3.5765, augment:0.2742
read:1.3216, augment:0.2346
read:1.4670, augment:0.2599
read:1.2841, augment:0.2859
read:3.1643, augment:0.2742
read:2.3866, augment:0.2432
read:1.3933, augment:0.2711
read:3.3274, augment:0.2813
read:3.1993, augment:0.2887
read:2.4145, augment:0.2794
read:0.4988, augment:0.2496
read:0.6280, augment:0.2732
read:2.8751, augment:0.2553
read:2.6450, augment:0.2742
read:1.1079, augment:0.2794
read:1.1525, augment:0.2613
read:4.9129, augment:0.2747
read:1.5152, augment:0.2956
read:1.6952, augment:0.2706
read:0.5560, augment:0.2661
read:1.1196, augment:0.2596
read:2.1245, augment:0.2735
read:20.8523, augment:0.3140
read:1.5659, augment:0.2728
read:1.5404, augment:0.2332
read:3.9780, augment:0.2794
read:1.1532, augment:0.2670
read:2.7106, augment:0.2999
read:0.5000, augment:0.2372
read:0.7570, augment:0.2563
read:0.7944, augment:0.2708
read:2.1210, augment:0.2675
read:0.4573, augment:0.2501
read:1.0881, augment:0.2921
read:0.8388, augment:0.2196
read:6.2113, augment:0.2830
read:1.0808, augment:0.2775
read:4.3843, augment:0.2768
read:0.3891, augment:0.2494
read:1.5681, augment:0.2768
read:4.1785, augment:0.2892
read:0.9086, augment:0.2644
read:2.5327, augment:0.2742
read:2.9309, augment:0.2770
read:1.8418, augment:0.2713
read:0.2732, augment:0.2258
read:0.8595, augment:0.2837
read:3.1538, augment:0.2797
read:1.5442, augment:0.2849
read:3.6314, augment:0.2913
read:0.9050, augment:0.2623
read:1.2507, augment:0.2670
read:3.2220, augment:0.2787
read:1.9791, augment:0.2744
read:4.4243, augment:0.2818
read:2.1100, augment:0.2806
read:1.3595, augment:0.2604
read:0.1979, augment:0.2198
read:2.3503, augment:0.2768
read:6.0065, augment:0.2763
read:3.3743, augment:0.2797
read:1.9045, augment:0.2682
read:1.3201, augment:0.2332
read:3.1586, augment:0.2747
read:1.8654, augment:0.2806
read:0.9160, augment:0.2811
read:0.2131, augment:0.2282
read:2.1720, augment:0.2737
read:1.7264, augment:0.2663
read:19.3017, augment:0.3142
read:3.7115, augment:0.2797
read:0.2244, augment:0.2201
read:0.5052, augment:0.2544
read:2.9051, augment:0.2751
read:1.0188, augment:0.2635
read:2.8653, augment:0.2735
read:0.6065, augment:0.2735
read:1.8957, augment:0.2742
read:3.2659, augment:0.2749
read:0.5229, augment:0.2370
read:5.6987, augment:0.2754
read:1.5962, augment:0.2780
read:1.9124, augment:0.2694
read:2.5582, augment:0.2763
read:3.1884, augment:0.2785
read:1.4248, augment:0.2720
read:1.5182, augment:0.2599
read:3.2072, augment:0.2794
read:1.6184, augment:0.2983
read:2.0828, augment:0.2730
read:0.8264, augment:0.2680
read:8.3811, augment:0.2913
read:4.1308, augment:0.2816
read:0.9575, augment:0.2706
read:0.6170, augment:0.2549
read:23.4592, augment:0.3936
read:3.1829, augment:0.2947
read:0.5858, augment:0.2515
read:3.1760, augment:0.2718
read:1.5943, augment:0.2568
read:0.2782, augment:0.2270
read:0.3777, augment:0.2389
read:3.2074, augment:0.2973
read:0.8171, augment:0.2596
read:6.6109, augment:0.2842
read:1.3771, augment:0.2539
read:0.9120, augment:0.2685
read:2.5115, augment:0.2759
read:1.5495, augment:0.2644
read:2.1596, augment:0.2792
read:0.8354, augment:0.2673
read:1.1055, augment:0.2475
read:1.3256, augment:0.2689
read:1.5006, augment:0.2754
read:0.3805, augment:0.2203
read:3.0155, augment:0.2794
read:3.6743, augment:0.2756
read:0.7353, augment:0.2654
read:0.6533, augment:0.2627
read:3.7842, augment:0.2794
read:1.6046, augment:0.2768
read:3.0127, augment:0.2751
read:2.0120, augment:0.2680
read:1.4529, augment:0.2770
read:0.5770, augment:0.2747
read:1.6890, augment:0.2677
read:0.9882, augment:0.2635
read:0.9446, augment:0.2701
read:0.5889, augment:0.2320
read:1.2956, augment:0.2651
read:1.4977, augment:0.2828
read:0.9284, augment:0.2651
read:1.3199, augment:0.2718
read:4.1723, augment:0.2763
read:0.8671, augment:0.2580
read:3.4270, augment:0.2787
read:1.9999, augment:0.2718
read:1.3084, augment:0.2880
read:1.6186, augment:0.2651
read:1.0781, augment:0.2720
read:0.8681, augment:0.2701
read:2.1679, augment:0.2775
read:0.2606, augment:0.2186
read:0.4802, augment:0.2389
read:3.2847, augment:0.2782
read:1.5762, augment:0.2668
read:4.3538, augment:0.2742
read:0.4249, augment:0.2503
read:3.2213, augment:0.2804
read:2.7437, augment:0.2773
read:2.5620, augment:0.2735
read:4.2381, augment:0.2749
read:5.5990, augment:0.2794
read:1.5314, augment:0.2658
read:0.8373, augment:0.2644
read:1.7152, augment:0.2737
read:6.8877, augment:0.2930
read:1.7512, augment:0.2792
read:2.6653, augment:0.2971
read:1.1523, augment:0.2756
read:2.4800, augment:0.2892
read:0.9441, augment:0.2735
read:0.8554, augment:0.2429
read:1.8494, augment:0.2999
read:1.6038, augment:0.2651
read:0.9301, augment:0.2875
read:2.6009, augment:0.2685
read:0.9100, augment:0.2847
read:0.8743, augment:0.2699
read:0.5813, augment:0.2506
read:0.5844, augment:0.2580
read:1.2338, augment:0.2868
read:5.3699, augment:0.2811
read:1.9207, augment:0.2854
read:2.6665, augment:0.2749
read:3.3052, augment:0.2880
read:1.4479, augment:0.2897
read:1.2391, augment:0.2732
read:1.7278, augment:0.2894
read:1.4651, augment:0.2718
read:1.2522, augment:0.2658
read:1.3483, augment:0.2780
read:2.6472, augment:0.2971
read:0.5794, augment:0.2780
read:2.7580, augment:0.2902
read:1.0660, augment:0.2885
read:3.4981, augment:0.2964
read:3.2558, augment:0.2921
read:0.7722, augment:0.2825
read:1.2121, augment:0.2542
read:3.4132, augment:0.2983
read:0.6766, augment:0.2751
read:0.8726, augment:0.2792
read:0.1531, augment:0.2406
read:1.6763, augment:0.2620
read:1.3132, augment:0.2706
read:2.4021, augment:0.3245
read:0.4950, augment:0.2649
