read:1.4908, augment:1.3835
read:6.7627, augment:1.3516
read:4.0457, augment:1.4720
read:3.6259, augment:1.3237
read:1.7276, augment:1.1156
read:7.9188, augment:1.4193
read:3.1459, augment:1.0903
read:2.9776, augment:1.3177
read:17.6809, augment:1.5199
read:6.7246, augment:1.3590
read:5.0938, augment:1.3139
read:11.7404, augment:1.3251
read:3.3135, augment:1.2114
read:3.9625, augment:1.0433
read:7.4966, augment:1.4565
read:6.4776, augment:1.3580
read:10.0513, augment:1.3080
read:3.1102, augment:1.1365
read:7.1752, augment:1.4637
read:7.1118, augment:1.3638
read:4.0588, augment:1.3478
read:2.1133, augment:1.2066
read:3.7024, augment:1.2898
read:4.1397, augment:1.2622
read:2.3260, augment:1.3947
read:9.8412, augment:1.3430
read:2.1627, augment:1.1463
read:3.1745, augment:1.2031
read:4.1485, augment:1.2543
read:3.8321, augment:1.2326
read:4.0281, augment:1.2763
read:0.7834, augment:1.0462
read:9.4154, augment:1.2608
read:3.9797, augment:1.2965
read:4.1981, augment:1.3018
read:3.0890, augment:1.2002
read:4.5464, augment:1.4105
read:7.0906, augment:1.3788
read:2.5861, augment:1.1961
read:6.6879, augment:1.4386
read:1.4341, augment:1.0607
read:7.0157, augment:1.3800
read:4.7393, augment:1.3499
read:7.2224, augment:1.1747
read:2.8038, augment:1.2212
read:10.3760, augment:1.3006
read:0.6423, augment:1.0998
read:8.5745, augment:1.3080
read:1.5528, augment:1.3247
read:3.4502, augment:1.1775
read:1.6139, augment:1.2751
read:4.6225, augment:1.3049
read:2.0797, augment:1.2314
read:1.3218, augment:1.0262
read:1.6627, augment:1.1086
read:1.0161, augment:1.2341
read:17.3650, augment:1.5445
read:2.2268, augment:1.1322
read:5.5387, augment:1.3230
read:1.6785, augment:1.1835
read:0.4678, augment:0.9871
read:4.0295, augment:1.3869
read:4.1721, augment:1.1952
read:4.3488, augment:1.2505
read:6.6326, augment:1.2841
read:1.8651, augment:1.0669
read:2.7368, augment:1.1728
read:5.4150, augment:1.3685
read:2.2919, augment:1.2367
read:5.0418, augment:1.2503
read:5.3296, augment:1.4043
read:1.4393, augment:1.3459
read:1.4775, augment:1.1022
