read:1.5078, augment:1.4114
read:6.8302, augment:1.3740
read:3.9575, augment:1.2589
read:3.5467, augment:1.2643
read:1.6847, augment:1.1137
read:7.4868, augment:1.4691
read:3.0229, augment:1.1365
read:2.9142, augment:1.4052
read:17.3762, augment:1.5020
read:6.5393, augment:1.3328
read:5.0185, augment:1.2896
read:11.6739, augment:1.2784
read:3.2933, augment:1.1971
read:3.8259, augment:1.2245
read:7.3369, augment:1.4319
read:6.3603, augment:1.3392
read:9.8915, augment:1.4358
read:3.0088, augment:1.1518
read:7.1335, augment:1.3487
read:6.9735, augment:1.3540
read:3.9706, augment:1.3356
read:2.1043, augment:1.1370
read:3.6495, augment:1.2629
read:4.1306, augment:1.2195
read:2.1803, augment:1.2002
read:9.6941, augment:1.3011
read:2.1470, augment:1.1053
read:3.0825, augment:1.2300
read:4.0963, augment:1.2197
read:3.7718, augment:1.2314
read:3.9785, augment:1.1454
read:0.7758, augment:0.9379
read:9.2969, augment:1.3013
read:3.9060, augment:1.2038
read:4.1931, augment:1.4248
read:3.0599, augment:1.1868
read:4.5435, augment:1.3463
read:6.9747, augment:1.2875
read:2.5570, augment:1.2181
read:6.5532, augment:1.2825
read:1.4632, augment:1.1256
read:6.8419, augment:1.4112
read:4.8468, augment:1.3254
read:6.9988, augment:1.3258
read:2.6758, augment:1.2612
read:10.2429, augment:1.3442
read:0.6280, augment:1.1139
read:8.4217, augment:1.3704
read:1.4641, augment:1.1568
read:3.4404, augment:1.1640
read:1.6639, augment:1.2050
read:4.5602, augment:1.4217
read:1.9140, augment:1.2102
read:1.2698, augment:1.0862
read:1.6060, augment:1.0898
read:1.0121, augment:1.0765
read:17.1089, augment:1.5163
read:2.1071, augment:1.1435
read:5.4424, augment:1.3943
read:1.6870, augment:1.1315
read:0.4559, augment:0.8996
read:3.9392, augment:1.3368
read:4.0967, augment:1.2279
read:4.2653, augment:1.1859
read:6.4061, augment:1.2970
read:1.8411, augment:1.0729
read:2.7130, augment:1.1895
read:5.3749, augment:1.2271
read:2.1687, augment:1.1430
read:5.0302, augment:1.3161
read:5.2614, augment:1.3056
read:1.4229, augment:1.3080
read:1.4529, augment:1.0943
read:1.1601, augment:0.9980
read:1.0886, augment:1.1120
read:1.4856, augment:1.1115
read:7.0081, augment:1.3959
read:1.0037, augment:1.1015
read:2.0013, augment:1.3106
read:2.0206, augment:1.2264
read:6.3455, augment:1.3690
read:4.7059, augment:1.3537
read:0.5975, augment:0.7436
read:3.2194, augment:1.1840
read:2.2631, augment:1.0684
read:2.1269, augment:1.0650
read:3.2101, augment:1.1816
read:4.7648, augment:1.2763
read:4.1714, augment:1.2054
read:4.3607, augment:1.2324
read:53.7097, augment:2.0876
read:1.3916, augment:1.1673
read:4.6053, augment:1.3988
read:1.2167, augment:1.0965
read:6.4588, augment:1.3311
read:0.9327, augment:1.0519
read:3.7720, augment:1.3871
read:7.2539, augment:1.2956
read:1.4219, augment:1.2643
read:4.1783, augment:1.3044
read:8.3416, augment:1.3335
read:3.8035, augment:1.2639
read:5.4035, augment:1.3738
read:8.1317, augment:1.4396
read:2.8682, augment:1.4811
read:1.3707, augment:1.0455
read:1.3151, augment:1.1773
read:1.9209, augment:1.3766
read:8.0159, augment:1.3311
read:2.7492, augment:1.0617
read:3.2144, augment:1.1845
read:2.8403, augment:1.1411
read:6.3941, augment:1.3599
read:4.3502, augment:1.1036
read:2.4481, augment:1.4014
read:7.0615, augment:1.4322
read:6.8793, augment:1.4079
read:5.0325, augment:1.3788
