read:1.4732, augment:1.4105
read:6.8390, augment:1.3587
read:3.9644, augment:1.3165
read:3.5710, augment:1.2019
read:1.7171, augment:1.2050
read:7.4863, augment:1.4408
read:3.0406, augment:1.0498
read:2.9659, augment:1.3428
read:17.4155, augment:1.4944
read:6.5086, augment:1.3363
read:4.9932, augment:1.3628
read:11.5638, augment:1.3309
read:3.2473, augment:1.2255
read:3.8168, augment:1.2619
read:7.3838, augment:1.3578
read:6.4216, augment:1.3399
read:9.8314, augment:1.3375
read:3.0408, augment:1.1072
read:7.1626, augment:1.2898
read:6.9783, augment:1.1339
read:3.9573, augment:1.3523
read:2.1265, augment:1.1325
read:3.6328, augment:1.2002
read:4.0815, augment:1.2362
read:2.2340, augment:1.3845
read:9.5935, augment:1.2829
read:2.1019, augment:1.1246
read:3.0904, augment:1.2262
read:4.0693, augment:1.2317
read:3.7732, augment:1.2271
read:3.9797, augment:1.1573
read:0.7870, augment:1.0049
read:9.2037, augment:1.3423
read:3.8285, augment:1.3227
read:4.2143, augment:1.3595
read:3.0363, augment:1.1852
read:4.5035, augment:1.3247
read:6.9327, augment:1.4172
read:2.4853, augment:1.1902
read:6.4933, augment:1.4083
read:1.4274, augment:1.1072
read:6.7925, augment:1.3700
read:4.6310, augment:1.4076
read:6.9046, augment:1.2643
read:2.7320, augment:1.2329
read:10.1483, augment:1.3337
read:0.6456, augment:1.0989
read:8.3716, augment:1.4238
read:1.4629, augment:1.1873
read:3.4249, augment:1.2889
read:1.6899, augment:1.2562
read:4.5846, augment:1.3680
read:1.9403, augment:1.1292
read:1.2438, augment:1.0805
read:1.6420, augment:1.0664
read:1.0154, augment:1.1599
read:17.0307, augment:1.5504
read:2.1772, augment:1.0750
read:5.4624, augment:1.3962
read:1.6453, augment:1.0991
read:0.4537, augment:1.0173
read:3.9594, augment:1.3421
read:4.0777, augment:1.2345
read:4.2620, augment:1.2565
read:6.4189, augment:1.3700
read:1.7948, augment:1.1184
read:2.7192, augment:1.1501
read:5.3823, augment:1.3623
read:2.2349, augment:1.1430
read:4.9882, augment:1.2529
read:5.2919, augment:1.3080
read:1.4882, augment:1.2741
read:1.4737, augment:1.0357
read:1.1766, augment:1.0173
read:1.0886, augment:1.1303
read:1.4520, augment:1.0843
read:7.0040, augment:1.3931
read:1.0653, augment:1.0686
read:2.0037, augment:1.3936
read:1.9891, augment:1.2541
read:6.2783, augment:1.2839
read:4.7364, augment:1.2753
read:0.6163, augment:0.8972
read:3.1981, augment:1.1692
read:2.2955, augment:1.1437
read:2.1338, augment:1.0259
read:3.1564, augment:1.1241
read:4.7336, augment:1.4026
read:4.0882, augment:1.1737
read:4.3528, augment:1.2238
read:53.4794, augment:2.0759
read:1.4198, augment:1.2078
read:4.6146, augment:1.3707
read:1.1799, augment:1.0984
read:6.4564, augment:1.3609
read:0.9344, augment:0.9139
read:3.7553, augment:1.3704
read:7.1380, augment:1.2867
read:1.4539, augment:1.2918
read:4.2014, augment:1.2820
read:8.4085, augment:1.3661
read:3.7901, augment:1.2760
read:5.3501, augment:1.3261
read:8.0972, augment:1.3504
read:2.9550, augment:1.4169
read:1.3757, augment:1.1930
read:1.3053, augment:1.1146
read:1.9557, augment:1.3757
read:7.7856, augment:1.2634
read:2.7583, augment:1.0614
read:3.1712, augment:1.2674
read:2.8710, augment:1.1511
read:6.3653, augment:1.3735
read:4.3178, augment:1.1659
read:2.5539, augment:1.3301
read:7.0801, augment:1.3657
read:6.8853, augment:1.3487
read:4.9930, augment:1.3230
read:0.9482, augment:1.0526
read:1.4451, augment:1.2228
read:6.1479, augment:1.4398
read:5.7175, augment:1.2915
read:2.3358, augment:1.1520
read:2.5067, augment:1.1873
read:9.6438, augment:1.2774
read:3.3672, augment:1.2376
read:3.6707, augment:1.2753
read:1.2743, augment:1.1454
read:2.4676, augment:1.1435
read:4.6856, augment:1.3340
read:47.9448, augment:1.5380
read:3.4513, augment:1.2054
read:3.0434, augment:1.1303
read:8.1513, augment:1.3065
read:2.6922, augment:1.3227
read:5.8761, augment:1.2891
read:0.9716, augment:1.0879
read:1.8282, augment:1.0538
read:1.7838, augment:1.1353
read:4.6883, augment:1.2708
read:1.1330, augment:1.0941
read:2.1155, augment:1.1489
read:1.6778, augment:1.1184
read:11.3788, augment:1.2932
read:1.9827, augment:1.0884
read:9.1722, augment:1.3387
read:1.1251, augment:1.0431
read:3.9392, augment:1.2684
read:8.3749, augment:1.3056
read:1.9345, augment:1.1144
read:5.4977, augment:1.3342
read:6.4042, augment:1.3444
read:3.7231, augment:1.1675
read:0.6003, augment:0.8349
read:1.6949, augment:1.1349
read:6.7625, augment:1.3716
read:2.8918, augment:1.2131
read:7.1218, augment:1.4174
read:2.1880, augment:1.2021
read:2.6505, augment:1.1137
read:6.8502, augment:1.3120
read:4.2963, augment:1.3678
read:8.8675, augment:1.3864
read:3.7045, augment:1.4632
read:2.8880, augment:1.2286
read:0.5460, augment:0.9074
read:4.9610, augment:1.3745
read:11.4794, augment:1.3516
read:7.1080, augment:1.3201
read:3.9799, augment:1.2782
read:2.7554, augment:1.1005
read:6.8564, augment:1.3199
read:3.4065, augment:1.3855
read:2.0742, augment:1.2324
read:0.5906, augment:0.9069
read:4.4861, augment:1.2488
read:3.6507, augment:1.1997
read:42.7079, augment:1.3828
read:8.7993, augment:1.3249
read:0.6182, augment:0.9549
read:1.3170, augment:1.1222
read:5.8467, augment:1.3766
read:1.9774, augment:1.0684
read:5.8877, augment:1.3549
read:1.4493, augment:1.0762
read:4.0598, augment:1.3676
read:6.7604, augment:1.3745
read:1.1244, augment:1.0214
read:10.6945, augment:1.2937
read:2.9800, augment:1.3099
read:4.1051, augment:1.2784
read:5.6334, augment:1.3068
read:7.1950, augment:1.3869
read:2.6028, augment:1.3347
read:3.2771, augment:1.1497
read:6.8378, augment:1.3685
read:3.4668, augment:1.2243
read:4.3843, augment:1.2376
read:1.5330, augment:1.1053
read:15.3084, augment:1.3561
read:9.1510, augment:1.3783
read:1.7238, augment:1.1668
read:1.5025, augment:1.1175
read:62.0956, augment:2.3851
read:6.8793, augment:1.2908
read:1.4203, augment:1.0509
read:6.5219, augment:1.3940
read:3.3679, augment:1.1630
read:0.7288, augment:0.9322
read:0.8883, augment:1.0545
