read:1.4820, augment:1.4110
read:6.8076, augment:1.4279
read:3.9728, augment:1.3113
read:3.5505, augment:1.3192
read:1.7397, augment:1.0936
read:7.5078, augment:1.4994
read:3.0632, augment:1.0552
read:2.9635, augment:1.3051
read:17.5002, augment:1.5328
read:6.5858, augment:1.3158
read:5.0333, augment:1.3392
read:11.5743, augment:1.3683
read:3.3073, augment:1.2116
read:3.8514, augment:1.2121
read:7.4344, augment:1.3626
read:6.3801, augment:1.3776
read:9.9480, augment:1.3506
read:3.0599, augment:1.1697
read:7.2212, augment:1.3292
read:7.0269, augment:1.2822
read:4.0042, augment:1.3423
read:2.0776, augment:1.2541
read:3.6445, augment:1.2228
read:4.1523, augment:1.1780
read:2.2869, augment:1.3571
read:9.6908, augment:1.3151
read:2.0947, augment:1.2217
read:3.0992, augment:1.2066
read:4.1254, augment:1.0710
read:3.7868, augment:1.2100
read:3.9914, augment:1.1055
read:0.7713, augment:0.9565
read:9.2731, augment:1.3721
read:3.8669, augment:1.2348
read:4.2543, augment:1.4067
read:2.9993, augment:1.2214
read:4.5629, augment:1.3263
read:6.9540, augment:1.3154
read:2.5287, augment:1.1609
read:6.5839, augment:1.3134
read:1.4193, augment:0.9918
read:6.8429, augment:1.3959
read:4.6821, augment:1.3640
read:7.0198, augment:1.3173
read:2.7411, augment:1.2145
read:10.3006, augment:1.3037
read:0.6306, augment:1.1380
read:8.4376, augment:1.3809
read:1.5182, augment:1.1983
read:3.4387, augment:1.2290
read:1.6201, augment:1.3595
read:4.5812, augment:1.3313
read:1.9882, augment:1.2782
read:1.2238, augment:1.1108
read:1.6048, augment:1.1141
read:1.0529, augment:1.1897
read:17.0741, augment:1.5960
read:2.1017, augment:1.1353
read:5.4874, augment:1.3449
read:1.6940, augment:1.1096
read:0.4580, augment:0.9525
read:3.9699, augment:1.4019
read:4.0851, augment:1.2219
read:4.2772, augment:1.2603
read:6.4688, augment:1.3225
read:1.8528, augment:1.1168
read:2.7034, augment:1.1649
read:5.4305, augment:1.3478
read:2.1751, augment:1.1749
read:5.0333, augment:1.3354
read:5.2714, augment:1.3704
read:1.4286, augment:1.2920
read:1.5132, augment:1.0984
read:1.1201, augment:1.1039
read:1.0905, augment:1.0867
read:1.4818, augment:1.1227
read:7.0689, augment:1.3363
read:1.0147, augment:1.0874
read:2.0199, augment:1.3449
read:2.0268, augment:1.2631
read:6.3553, augment:1.3740
read:4.7231, augment:1.3373
read:0.6008, augment:0.9205
read:3.2272, augment:1.1902
read:2.2821, augment:1.1013
read:2.1238, augment:1.0190
read:3.1505, augment:1.2143
read:4.7810, augment:1.3292
read:4.1606, augment:1.2746
read:4.4067, augment:1.2696
read:53.6017, augment:2.0585
read:1.3831, augment:1.1928
read:4.6294, augment:1.4019
read:1.2195, augment:1.1463
read:6.4297, augment:1.2751
read:0.9284, augment:1.0099
read:3.7825, augment:1.3721
read:7.2286, augment:1.3316
read:1.4284, augment:1.2295
read:4.1740, augment:1.3776
read:8.4004, augment:1.3831
read:3.8462, augment:1.3463
read:5.3735, augment:1.3912
read:8.1894, augment:1.3382
read:2.9790, augment:1.1909
read:1.3750, augment:1.0529
read:1.3044, augment:1.1122
read:1.9252, augment:1.3986
read:7.8750, augment:1.3618
read:2.7735, augment:1.0788
read:3.2046, augment:1.2708
read:2.8589, augment:1.2169
read:6.4423, augment:1.4007
read:4.3538, augment:1.1771
read:2.4414, augment:1.4067
read:7.0794, augment:1.4420
read:7.0117, augment:1.3804
read:5.0421, augment:1.4427
read:0.8898, augment:1.0502
read:1.4348, augment:1.1971
read:6.1975, augment:1.2357
read:5.8396, augment:1.3053
read:2.3282, augment:1.1694
read:2.5473, augment:1.1907
read:9.7449, augment:1.3144
read:3.3524, augment:1.2503
read:3.6995, augment:1.2097
